Name;Email;Phone;Address;City;Registration Date;Total Spent;Country
Ella Brown;ellabrown @ outlook.com;+55 700766177;76 Main St;sao paulo;"Dec 07; 2022";"4;542.62";Brazil
Isabella Pettersson;isabellapettersson @ gmail.com;+39 571617688;67 Oak Road;rome;12-Dec-24;"5;329.37";Italy
Leo Brown;brown_leo@company.co;+553711624;76 Elm Street;rio de janeiro.;"Aug 15; 2024";"EUR 4;744.31";Brazil
Alma Johnson;alma-johnson@bizmail.net;+81 70289517;74 Elm Street;Tokyo;05-Sep-24;"8;519.14 SEK";Japan
Olivia Johansson;olivia-johansson@gmail.com;+55 145-65328;220 Elm Street;Sao Paulo;08/15/24;"4;431;36";Brazil
Sophia Andersson;sophia.andersson@company.co;+55 738-347359;196 Highway;Sao Paulo; 07/28/21 ;"4;811.10";Brazil
Liam Andersson;liam.andersson@gmail.com;68277880027;98 King St;Cape Town;02.03.2022;"9;205.38";South Africa
Olivia Andersson;oliviaandersson @ bizmail.net;+81-4742312209;119 Highway;Tokyo;21/06/2023;"6;051.07 USD";Japan
Emma Karlsson;emmakarlsson @ gmail.com;+275183473;293 Highway;Cape Town;04.05.2021;"$ 4;241.55";South Africa
Erik Williams;erikwilliams@gmail.com;9852401322 +49;67 Main St;Munich; 16-Jan-25 ;"1;087.10";Germany
Ella Larsson;ELLALARSSON@OUTLOOK.COM;(+66)281685054;249 Baker St;Bangkok;28.10.2023;387.10;Thailand
Oscar Johnson;oscar-johnson@outlook..com;+55 9056965917;255 Highway;Sao Paulo;29/03/2023;8 474.87;Brazil
Nils Svensson;NILS.SVENSSON@BIZMAIL.NET;9876351 +39;154 Elm Street;Milan;08-Sep-23;"5;480.15";Italy
Klara Williams;KLARA.WILLIAMS@OUTLOOK.COM;(0046)549180172;214 Park Ave;Göteborg;04/17/24;"9;181;94";Sweden
Sophia Smith;sophia-smith @ outlook.com;+2791725135;46 King St;Cape Town;14/04/2022;"$ 687;27";South Africa
Ethan Svensson;ethan-svensson@hotmail.com;+120234132;243 Highway;new york;05/18/21;852.27;USA
Noah Larsson;noah-larsson@yahoo.com;9952980+55;171 Oak Road;Sao Paulo;"Oct 29; 2022";"EUR 1;578.36";Brazil
Isabella Smith;smith_isabella@hotmail.com;590902259 +55;294 King St;Rio de Janeiro.;07-Nov-21;"5;699;45";Brazil
Oscar Jones;jones_oscar@hotmail..com;+55 525782841;75 Elm Street;Sao Paulo;08/23/23;"SEK 2;962;61";Brazil
Astrid Brown;brown_astrid@gmail.com;+46 21610705;100 Park Ave;GÖTEBORG;28.07.2022;"9;862.84";Sweden
Ava Persson;ava.persson@yahoo.com;(+55)13614878;170 Elm Street;Rio de Janeiro;"Jan 17; 2024";"8;343.37 $";Brazil
Leo Johnson;johnson_leo@company.co;+66 500902559;195 Main St;Bangkok ;09/03/2022;5 929.39;Thailand
Isabella Williams;isabella-williams@company.co;+1-26842450;22 Main St;Los Angeles ;28.12.2024;"3;445;08";USA
Leo Johnson;leo.johnson@yahoo.com;+46-98259526;173 Highway;Göteborg;2025-05-15;"6;741.33 EUR";Sweden
Liam Johnson;liamjohnson@yahoo.com;2494514754 +27;77 King St;Johannesburg;14-Mar-25;"1;140;51";South Africa
Emma Jones;emma.jones @ company.co;14955112 +1;243 Oak Road;Los Angeles; 26-Dec-23 ;"EUR 8;591.44";USA
Alma Olsson;almaolsson@company.co;+49-6464911110;279 Main St;Munich;28-Jul-25;"7;771;03";Germany
Ava Olsson;ava olsson@bizmail.net;7423330591 +27;193 Elm Street;Cape_Town;2021-10-20;"5;159.20 USD";South Africa
Erik Svensson;erik.svensson@yahoo.com;+49 9855241406;110 King St;Munich;2023-09-04;"9;671.71";Germany
Isabella Persson;isabella.persson@outlook.com;+669588373;77 Park Ave;Chiang Mai;2021-01-14;"2;857.79 EUR";Thailand
Oscar Gustafsson;gustafsson_oscar@bizmail.net;5357788116+46;7 Baker St;Stockholm;2021-06-07;"4;956.89";Sweden
Ava Jones;avajones@outlook.com;(+39)09938425;65 King St;Rome;12-Mar-25;"6;152.72 €";Italy
Mia Pettersson;pettersson_mia@gmail.com;+55 693929060;259 Main St;Sao Paulo;06-May-21;"840;08";Brazil
Leo Nilsson;leo-nilsson@company.co;+33-4413845;186 Oak Road;Lyon;06/29/21;"3;216.68 USD";France
Olivia Olsson;oliviaolsson@outlook.com;0081 331-5520;109 Elm Street;Tokyo;2021-01-15;"4;116.86";Japan
Olivia Svensson;SVENSSON_OLIVIA @ YAHOO.COM;(+41)8985625753;207 Main St;"Zurich;";2021-09-29;"EUR 6;508.90";Switzerland
Oscar Gustafsson;oscargustafsson@outlook..com;(+33)59848840;161 King St;Paris;06-Aug-22;"3;628.42 €";France
Mia Larsson;larsson_mia@yahoo.com;+39-0842710;175 Baker St;Milan;28-Feb-21;"5;774.44";Italy
Elin Persson;elin.persson@bizmail.net;+81-500534240;299 Main St;Tokyo;22.04.2024;"2;069.53 EUR";Japan
Ethan Pettersson;ethan-pettersson@bizmail.net;+66 28277288;17 Park Ave;chiang mai;29-Jul-25;"$ 3;702;16";Thailand
Olivia Karlsson;karlsson_olivia@bizmail.net;+33-9137367850;260 Elm Street;paris ;14/09/2025;"2;502.41 EUR";France
Sophia Eriksson;sophiaeriksson@yahoo.com;41039773 +81;91 Elm Street;Osaka;09/09/2021;"$ 9;625.12";Japan
Erik Svensson;erik.svensson@hotmail.com;+46-043350488;49 Main St;Stockholm;13/03/2022;"EUR 3;010.02";Sweden
Leo Eriksson;leo.eriksson@gmail.com;4975019 +46;105 Highway;göteborg;01.08.2024;"3;015.91 USD";Sweden
Olivia Persson;oliviapersson@company.co;+411659266108;80 Elm Street;Zurich;16-Apr-25;"€ 9;842.02";Switzerland
Liam Eriksson;liam-eriksson@gmail.com;+66 1730985;129 Elm Street;CHIANG MAI;"Mar 20; 2021";8 533.42 SEK;Thailand
Astrid Pettersson;astridpettersson@gmail..com;+335823133484;154 Highway;Lyon;07/01/2023;"USD 6;105.13";France
Astrid Gustafsson;astrid.gustafsson@yahoo.com;(0033)9278687653;256 King St;Paris; 01/11/24 ;388.27;France
Klara Gustafsson;gustafsson_klara@bizmail.net;+49 286-85289;282 Oak Road;Munich;"Aug 11; 2022";"SEK 5;460.81";Germany
Ethan Williams;ethan.williams@outlook.com;+81-0409013;267 King St;Tokyo;09/07/22;"3;437.34 USD";Japan
Noah Larsson;noah.larsson@gmail.com;+55869261796;228 Elm Street;Rio  de  Janeiro; 05/30/24 ;"2;766.06";Brazil
Oscar Andersson;andersson_oscar@bizmail.net;29668516+55;245 Oak Road;SAO PAULO;04/17/22;"USD 7;231.60";Brazil
Ella Olsson;ella.olsson@gmail.com;55598953 +1;45 Main St;los  angeles;02.10.2025;"1;937.35";USA
Liam Karlsson;liam-karlsson@outlook.com;7749649909+49;109 Oak Road;Munich ;01-Feb-23;"4;704.43 $";Germany
KLARA OLSSON;klara.olsson@gmail.com;(+55)06345911;67 King St;Sao Paulo;10.09.2025;"1;743;06 SEK";Brazil
Erik Johansson;erik.johansson@bizmail.net;(+66)7451713;180 King St;Chiang Mai;15/12/2021;"USD 5;705.04";Thailand
Mia Gustafsson;gustafsson_mia@yahoo.com;+81-183437401;72 Elm Street;Osaka;12/26/20;"6;298.43 $";Japan
Astrid Smith;astrid-smith @ company.co;0066-8040850954;223 King St;Bangkok ;25-Nov-23;"9;325.40 USD";Thailand
Ella Pettersson;ELLAPETTERSSON@HOTMAIL.COM;(0033)32971674;10 Oak Road;Lyon;2023-08-15;"3;383;97";France
Emma Pettersson;emmapettersson @ bizmail.net;(+1)2309130756;257 King St;New York;02/10/2024;"5;613.26 EUR";USA
Liam Persson;liam.persson@company.co;1103712938 0033;176 King St;lyon; 29-Jan-22 ;"8;061.51 $";France
Liam Karlsson;liam-karlsson@bizmail.net;+46 546-015851;104 Baker St;Stockholm;2022-12-25;EUR 3 599 02;Sweden
Oscar Brown;oscar.brown@bizmail.net;+66-7982708086;91 Park Ave;Chiang_Mai;03/12/24;"3;852.78 SEK";Thailand
Ava Johansson;johansson_ava@bizmail.net;+66 101372151;294 Elm Street;Bangkok;12/10/2022;"2;757.07";Thailand
Ethan Johansson;ethanjohansson@yahoo.com;+391790807;295 King St;Milan;10/01/2023;1 291.18 SEK;Italy
Klara Nilsson;nilsson_klara@hotmail.com;(+46)9078263337;240 Park Ave;Stockholm;16-Sep-24;"4;505;22 SEK";Sweden
Ava Johansson;ava.johansson@hotmail.com;6614494296 +66;72 Park Ave;Chiang Mai;2022-07-04;"9;271.92";Thailand
Nils Johnson;nils-johnson@bizmail.net;(+66)146074555;167 Elm Street;Bangkok;"Dec 05; 2023";"7;409.64 USD";Thailand
Astrid Svensson;astridsvensson@gmail.com;+55 5469681579;121 Oak Road;Sao  Paulo;25.03.2021;"5;004.50 $";Brazil
Olivia Olsson;olivia-olsson@gmail..com;(+39)696325953;256 Oak Road;MILAN;23/02/2022;EUR 496.09;Italy
Alma Williams;ALMA..WILLIAMS@COMPANY.CO;+33 481-93466;9 Elm Street;Paris;13.01.2025;"USD 7;011;81";France
Hugo Olsson;hugoolsson@yahoo.com;+55 1557998;63 Baker St;Sao Paulo;01/03/22;"2;177;41";Brazil
Emma Larsson;emma-larsson @ hotmail.com;(+55)7793238;43 Park Ave;rio de janeiro;01/24/22;"EUR 6;597.10";Brazil
ISABELLA PETTERSSON;isabellapettersson @ gmail com;+39 571617688;67 Oak Road;rome;12-Dec-24;"5;329.37";Italy
Olivia Smith;oliviasmith @ yahoo.com;+1-9600133;280 Elm Street;New York ;16-Sep-24;"1;563.24";USA
Emma Gustafsson;gustafsson_emma@company.co;+467580304687;42 Highway;Göteborg;19/03/2021;"3;298.95";Sweden
Ava Johnson;ava-johnson@gmail.com;+1 601-367303;107 Elm Street;New York;2024-11-17;"5;500.30 $";USA
Ella Olsson;ellaolsson@outlook..com;+668186702;127 Main St;Chiang Mai;13.07.2021;"$ 8;621.22";Thailand
Lucas Gustafsson;GUSTAFSSON_LUCAS@GMAIL.COM;(+33)1918623;92 King St;paris;2021-04-18;"5;744.29 EUR";France
Liam Gustafsson;liam-gustafsson@company.co;+1-129578606;200 Main St;new york;27.01.2024;"5;328.32 €";USA
Noah Persson;noah.persson@gmail.com;+81-09184357;264 Elm Street;TOKYO;2022-08-08;"8;735.61";Japan
Klara Persson;klarapersson@gmail.com;+55-7784873;240 Oak Road;Sao Paulo;10/10/2023;"8;195;99 SEK";Brazil
Lucas Svensson;lucas-svensson@outlook.com;(+46)6447264908;47 Park Ave;Göteborg;11/11/2023;"3;241.37 $";Sweden
Mia Jones;jones_mia@gmail.com;+33762702324;105 Elm Street;paris;2022-11-23;"SEK 3;453.67";France
Ella Svensson;ellasvensson@company.co;(+55)912711307;272 Elm Street;Sao Paulo;26/12/2021;4 314.18 USD;Brazil
Noah Svensson;noah.svensson@yahoo.com;47317810 +81;48 King St;Tokyo;2023-01-17;31.53 EUR;Japan
Emma Brown;EMMA-BROWN @ GMAIL.COM;+66 2314290;174 King St;Bangkok;15/04/2023;"$ 4;794.29";Thailand
Erik Williams;erik-williams@hotmail.com;(+39)9086416862;203 Park Ave;Milan;2022-02-26;"4;306.36";Italy
Emma Eriksson;eriksson_emma @ bizmail.net;+813218122764;125 King St;Tokyo;2021-01-09;392.49 SEK;Japan
Nils Olsson;nilsolsson@gmail.com;+1831997179;18 Elm Street;New-York.;02/07/21;"$ 4;324;07";USA
Olivia Pettersson;olivia.pettersson@gmail.com;+1 2385037;19 Oak Road;New York;"Apr 01; 2021";"1;303.35";USA
Nils Jones;nils.jones@bizmail.net;+19405396727;142 Elm Street;New York;2024-05-11;"$ 4;071;08";USA
Astrid Persson;astridpersson@company.co;+46 85677005;141 King St;Göteborg;12/02/22;"8;983.28 $";Sweden
Hugo Larsson;hugo.larsson@yahoo.com;0027309883920;81 Main St;Johannesburg;31/01/2024;"$ 7;371.89";South Africa
Ava Olsson;ava.olsson@bizmail.net;7423330591 +27;193 Elm Street;Cape_Town;2021-10-20;"5;159.20 USD";South Africa
Erik Olsson;erik-olsson @ gmail.com;+49-9375150939;143 Baker St;munich;"Apr 14; 2021";"SEK 4;909.75";Germany
Leo Johansson;leojohansson@gmail.com;98808583 +33;192 Baker St;paris;10.07.2025;"9;422.50";France
Emma Karlsson;emma-karlsson@gmail.com;+55 005-0506138;275 Baker St;Rio  de  Janeiro;2024-06-18;€ 9 181.01;Brazil
Oscar Persson;oscarpersson@gmail.com;4488501 +41;292 Highway;Geneva;26-Jul-24;"7;974.57";Switzerland
Noah Larsson;noah.larsson @ gmail.com;+81 999827950;195 King St;tokyo;2021-07-20;"EUR 2;751.44";Japan
Nils Pettersson;pettersson_nils@company.co;+81 2047196094;228 Main St;Osaka;05/11/2020;"8;559.84 SEK";Japan
Olivia Johnson;johnson_olivia@yahoo.com;+813330212606;298 Main St;Osaka;2021-08-03;134.65;Japan
Lucas Johnson;lucas-johnson@outlook.com;+811639282341;220 Baker St;Tokyo;24/10/2021;5 916 05;Japan
Noah Brown;brown_noah@company.co;+41-414967393;93 Oak Road;Geneva ;2023-09-28;"3;521;65";Switzerland
Ella Williams;ella..williams@yahoo.com;(+66)535218188;76 Baker St;chiang mai; 19.01.2025 ;"EUR 9;513.41";Thailand
Hugo Persson;hugo-persson@company.co;4773201+55;14 Baker St;Rio de Janeiro;2021-05-03;"5;204.29";Brazil
Liam Jones;jones_liam@company.co;+41-71894905;263 Elm Street;Zurich;06/13/22;"USD 6;953.56";Switzerland
Oscar Olsson;olsson_oscar@outlook.com;0049 823-662994;147 Baker St;Munich;11.04.2023;"4;737.13 €";Germany
Erik Williams;erikwilliams@bizmail.net;+33-160481754;191 Main St;Paris;"Aug 20; 2022";USD 641.54;France
Astrid Svensson;astrid-svensson@hotmail.com;+49 770-4605;226 Elm Street;Berlin;2024-01-18;"3;670.98";Germany
Sophia Persson;sophiapersson@company.co;+41 207-1002194;244 Park Ave;geneva;19/02/2022;EUR 385.84;Switzerland
Erik Olsson;olsson_erik @ gmail.com;+1016731882;80 King St;Los Angeles;14/03/2023;"2;702;12";USA
Lucas Johnson;lucas.johnson@company.co;7179576024 +41;119 Highway;Zurich;09.07.2025;"1;320.27 USD";Switzerland
Olivia Persson;olivia-persson@bizmail..net;0055384444630;192 King St;Sao Paulo;02-Jan-24;SEK 9 735.17;Brazil
Leo Svensson;svensson_leo@company..co;(+81)72318432;61 Park Ave;Osaka;25-Jun-23;"1;620;85";Japan
Ethan Andersson;ethan.andersson@yahoo.com;+81-549471709;100 Highway;tokyo;05/09/2025;"2;010;96 EUR";Japan
Klara Olsson;klara.olsson@gmail.com;(+55)06345911;67 King St;Sao Paulo;10.09.2025;"1;743;06 SEK";Brazil
Elin Eriksson;elin-eriksson @ hotmail.com;+33 352-090421;176 Baker St;Lyon;23/03/2024;"5;532.03 €";France
Noah Larsson;noah.larsson @ hotmail.com;+66-0339937;59 Oak Road;bangkok;30.01.2023;"SEK 8;862.70";Thailand
Lucas Pettersson;lucas-pettersson @ gmail.com;+55957885685;129 Baker St;rio  de  janeiro;31/08/2024;"SEK 7;388.66";Brazil
Noah Pettersson;noahpettersson@outlook.com;+1 210470952;213 Baker St;Los Angeles;08/11/23;"USD 2;577.13";USA
Erik Johnson;erik.johnson @ company.co;+816767721903;148 Baker St;Osaka;2023-08-30;USD 2 686.21;Japan
Hugo Olsson;hugoolsson@yahoo.com;3257970 +41;250 Baker St;Geneva;05/19/24;"3;700;79 USD";Switzerland
Erik Larsson;ERIK.LARSSON@YAHOO.COM;(+33)7778097;233 Elm Street;Lyon;"Apr 27; 2024";2 084.30;France
Astrid Andersson;andersson_astrid@outlook.com;+2702716938;236 Elm Street;Johannesburg;05/10/23;"EUR 7;119.36";South Africa
Olivia Eriksson;oliviaeriksson@bizmail.net;81199537 +66;54 King St;Chiang Mai;"May 21; 2024";"6;673;12";Thailand
Liam Williams;liamwilliams@company.co;(+1)511047541;286 Highway;"New  York;";03/12/25;133.28;USA
Oscar Johnson;oscarjohnson@outlook.com;(+46)156915452;250 Park Ave;Stockholm;03/27/24;"5;893.61 €";Sweden
Alma Johansson;ALMA-JOHANSSON@BIZMAIL.NET;+49 678-1126;87 Main St;Berlin;2023-01-23;"USD 4;252.80";Germany
Leo Nilsson;leo-nilsson@company.co;+33-4413845;186 Oak Road;Lyon;06/29/21;"3;216.68 USD";France
Isabella Persson;isabellapersson@yahoo.com;+49 149368998;137 Main St;munich;30/10/2020;"5;667.55";Germany
Olivia Smith;olivia-smith@yahoo.com;+39-8811729;221 Highway;Rome;18-Apr-25;"3;818.55";Italy
Ava Gustafsson;ava.gustafsson@company.co;8058911352 +66;205 King St;Bangkok;29.08.2023;"5;809.38 SEK";Thailand
Astrid Larsson;astrid.larsson@gmail.com;+41 5060983584;282 Oak Road;Geneva;04-May-21;"9;868;01";Switzerland
Erik Williams;williams_erik@bizmail.net;(+39)8324210;292 Oak Road;Milan;"Apr 28; 2022";"4;383.21 SEK";Italy
Nils Karlsson;karlsson_nils@hotmail.com;+8168315893;218 King St;OSAKA; 31-Dec-21 ;"SEK 6;771.46";Japan
Alma Smith;almasmith@gmail.com;+46568044731;193 Oak Road;Stockholm;23.05.2022;"EUR 2;453.69";Sweden
Ava Gustafsson;avagustafsson@hotmail.com;+39-04439735;6 Elm Street;rome;17-Oct-24;7 363.68;Italy
Hugo Johnson;HUGO..JOHNSON@HOTMAIL.COM;+41 4455618579;233 Elm Street;Geneva;2021-05-16;"8;256.31 €";Switzerland
Klara Olsson;klara-olsson @ bizmail.net;+55880395512;193 Park Ave;Sao Paulo;06/14/21;"3;151;85 $";Brazil
Astrid Andersson;astrid.andersson@bizmail.net;+27712814429;58 Highway;cape town;29/04/2025;"€ 7;010.74";South Africa
Mia Eriksson;MIA-ERIKSSON@HOTMAIL.COM;+1903521356;90 Main St;Los Angeles;29-Apr-21;"7;940.16";USA
Nils Persson;nilspersson@yahoo.com;(+49)129592728;20 Highway;Berlin;05/26/21;"5;905;16 €";Germany
Oscar Karlsson;oscarkarlsson@yahoo.com;(+1)3577908;17 Elm Street;Los Angeles;18.10.2023;EUR 803.68;USA
Mia Jones;mia jones@outlook.com;+66335670860;180 Park Ave;"Chiang-Mai;";12/21/24;"4;725;86 SEK";Thailand
Noah Williams;noahwilliams@bizmail..net;+39 86204485;45 Highway;ROME;12/04/2021;"6;269.98";Italy
Lucas Pettersson;lucas.pettersson@gmail.com;+815280924287;163 Park Ave;Osaka;08/06/23;"USD 9;263.11";Japan
ELLA BROWN;ellabrown @ outlook com;+55 700766177;76 Main St;sao paulo;"Dec 07; 2022";"4;542.62";Brazil
Olivia Brown;oliviabrown@yahoo.com;+6668653694;163 Highway;Bangkok;05/26/23;"4;500;06 €";Thailand
Astrid Smith;smith_astrid@hotmail.com;+49-1718227;217 Baker St;Munich;13.01.2023;4 386.62;Germany
Liam Smith;smith_liam@company.co;+399887749242;148 King St;Milan;06/04/2024;2 859.61;Italy
Hugo Larsson;hugo-larsson@company.co;+661484399;74 Elm Street;Bangkok;26-Feb-22;"6;464.39";Thailand
Emma Persson;emma.persson@yahoo.com;+39 023-741678;167 King St;Rome;10-Jul-25;9 577.21;Italy
Elin Svensson;elin-svensson @ gmail.com;7410119 +33;255 Baker St;LYON;09/20/24;"5;750.66 SEK";France
Noah Johansson;NOAHJOHANSSON@BIZMAIL.NET;(+49)6300979;81 Elm Street;munich; 2024-04-20 ;"6;449.30";Germany
Hugo Larsson;hugolarsson@company.co;+46 805-5269;242 King St;göteborg ;22-Mar-25;6 289.42 SEK;Sweden
Klara Johansson;johansson_klara@outlook.com;+396980420;139 Main St;Rome;29.07.2025;"1;087.84";Italy
Isabella Larsson;larsson_isabella@outlook..com;(+27)0422325367;213 Elm Street;"Cape Town;";12/31/24;"8;774.40 EUR";South Africa
Oscar Johnson;johnson_oscar@yahoo.com;(+46)59893347;89 Park Ave;Stockholm;11/07/2021;EUR 2 557.61;Sweden
Mia Karlsson;mia-karlsson@gmail.com;(+46)31279757;195 Park Ave;Göteborg;28.09.2023;"7;871.33 SEK";Sweden
Hugo Karlsson;hugo.karlsson@yahoo.com;+4661764750;261 Baker St;göteborg;2024-12-22;1 819.15 EUR;Sweden
Elin Johansson;elinjohansson@bizmail.net;2839992192+46;292 King St;Stockholm;2024-08-06;"6;932.93 SEK";Sweden
Alma Johnson;almajohnson @ gmail.com;+46 559-3429;40 Main St;Stockholm;19/10/2022;"3;034.16 USD";Sweden
Isabella Johansson;isabellajohansson@gmail.com;+33-207446660;98 Oak Road;Paris;07/24/24;"8;455;74 SEK";France
Nils Brown;nilsbrown@outlook.com;+46-1397187072;287 Elm Street;Göteborg;23/12/2024;$ 462.45;Sweden
Noah Johnson;noah.johnson@gmail.com;+49-723046184;54 Highway;Munich;18/03/2024;"USD 8;316.67";Germany
Sophia Jones;sophia.jones @ outlook.com;(+41)9904137977;74 King St;Zurich;26.09.2021;"9;224.30";Switzerland
Liam Eriksson;liam.eriksson@outlook.com;4545892975 0081;236 Main St;osaka.;06.12.2021;"8;822;66 USD";Japan
LUCAS ANDERSSON;lucasandersson@yahoo.com;(+66)64647154;101 Elm Street;bangkok;10-Apr-24;"EUR 3;302.12";Thailand
Olivia Persson;PERSSON_OLIVIA@COMPANY..CO;(0033)66552899;236 Oak Road;paris;09/05/2023;"1;467.25 $";France
Liam Smith;liamsmith@yahoo.com;4341036 +1;57 King St;New  York;28/10/2024;€ 25.63;USA
Ella Eriksson;ellaeriksson@outlook.com;+117807823;269 Oak Road;Los Angeles;10.09.2023;"2;059.82 $";USA
Leo Karlsson;leo.karlsson@hotmail.com;+337625153814;2 Park Ave;Lyon;"May 26; 2024";363 94 EUR;France
Lucas Gustafsson;LUCAS-GUSTAFSSON @ BIZMAIL.NET;+81 199-0623445;163 Elm Street;OSAKA;2024-01-28;"1;652;11 EUR";Japan
Lucas Larsson;larsson_lucas@hotmail.com;+49 157-6764;261 Main St;MUNICH;04-May-23;"1;775.46";Germany
Klara Johansson;klarajohansson@outlook.com;+66 4546553585;127 King St;Chiang Mai;23.08.2023;"€ 3;141.71";Thailand
Sophia Karlsson;sophia-karlsson @ yahoo.com;(+39)3128403;245 Elm Street;milan.; 13-Jun-21 ;"1;981.99";Italy
Ava Brown;ava-brown@company.co;+668509608;295 Oak Road;Chiang Mai;2025-03-04;"7;987.92 $";Thailand
Alma Brown;alma-brown@bizmail.net;+33 5676670806;155 King St;Paris; 09/19/25 ;"EUR 8;452;62";France
Sophia Williams;williams_sophia@outlook.com;1601662 +1;229 Highway;Los Angeles;" May 02; 2025 ";"9;228;61";USA
Sophia Svensson;sophiasvensson@gmail.com;+66 173-42069;189 Baker St;Bangkok;05.05.2023;"2;252.59 €";Thailand
Erik Brown;brown_erik@bizmail.net;+55 294-56255;58 Oak Road;Sao Paulo;07/01/2024;"USD 4;062.80";Brazil
Hugo Williams;hugo.williams@bizmail.net;0049 9562017537;144 Park Ave;Berlin;30.04.2025;"9;801.39 USD";Germany
Lucas Nilsson;lucas-nilsson@gmail.com;+3372450184;242 Baker St;Paris;2021-08-28;"7;544.96";France
Klara Pettersson;KLARAPETTERSSON@HOTMAIL.COM;(+33)5009788;96 Main St;Paris;"Oct 15; 2025";"5;949.25 SEK";France
Elin Karlsson;KARLSSON_ELIN@GMAIL.COM;(+81)2634755752;298 Oak Road;Tokyo;25/10/2023;"6;959.40";Japan
Isabella Eriksson;isabellaeriksson@company.co;+33-833394522;60 King St;Paris;19.02.2023;8 415.48;France
Sophia Smith;sophia.smith@outlook.com;(+27)5349678;57 Park Ave;Johannesburg;2022-04-09;"9;930.84";South Africa
Ava Nilsson;AVANILSSON @ GMAIL.COM;+39-6918362644;196 Highway;Milan;2021-04-18;"7;769.14 USD";Italy
