sep=;
"Name";"Email";"Phone";"Address";"City";"Registration Date";"Total Spent";"Country"
"Leo Nilsson";"";"(+41) 1675677002";"85 Elm Street";"Geneva";"2023-12-27";"5542.30 SEK";"Switzerland"
"Ella Johansson";"johansson_ella@outlook.com";"(+81) 979270335";"58 Park Ave";"Tokyo";"2025-05-24";"6941.01 USD";"Japan"
"Ella Brown";"ellabrown@outlook.com";"(+55) 700766177";"76 Main St";"Sao Paulo";"2022-12-07";"4542.62";"Brazil"
"Isabella Pettersson";"isabellapettersson@gmail.com";"(+39) 571617688";"67 Oak Road";"Rome";"2024-12-12";"5329.37";"Italy"
"Leo Brown";"brown_leo@company.co";"(+55) 3711624";"76 Elm Street";"Rio de Janeiro";"2024-08-15";"4744.31 EUR";"Brazil"
"Alma Johnson";"alma-johnson@bizmail.net";"(+81) 70289517";"74 Elm Street";"Tokyo";"2024-09-05";"8519.14 SEK";"Japan"
"Olivia Johansson";"olivia-johansson@gmail.com";"(+55) 14565328";"220 Elm Street";"Sao Paulo";"2024-08-15";"nan";"Brazil"
"Liam Andersson";"liam.andersson@gmail.com";"(+27) 68277880027";"98 King St";"Cape Town";"2022-02-03";"9205.38";"South Africa"
"Olivia Andersson";"oliviaandersson@bizmail.net";"(+81) 4742312209";"119 Highway";"Tokyo";"2023-06-21";"6051.07 USD";"Japan"
"Emma Karlsson";"emmakarlsson@gmail.com";"(+27) 5183473";"293 Highway";"Cape Town";"2021-04-05";"4241.55 USD";"South Africa"
"Erik Williams";"erikwilliams@gmail.com";"(+49) 985240132249";"67 Main St";"Munich";"2025-01-16";"1087.10";"Germany"
"Ella Larsson";"ellalarsson@outlook.com";"(+66) 281685054";"249 Baker St";"Bangkok";"2023-10-28";"387.10";"Thailand"
"Oscar Johnson";"";"(+55) 9056965917";"255 Highway";"Sao Paulo";"2023-03-29";"8474.87";"Brazil"
"Nils Svensson";"nils.svensson@bizmail.net";"(+39) 987635139";"154 Elm Street";"Milan";"2023-09-08";"5480.15";"Italy"
"Klara Williams";"klara.williams@outlook.com";"(+46) 549180172";"214 Park Ave";"Göteborg";"2024-04-17";"nan";"Sweden"
"Sophia Smith";"sophia-smith@outlook.com";"(+27) 91725135";"46 King St";"Cape Town";"2022-04-14";"687.27 USD";"South Africa"
"Ethan Svensson";"ethan-svensson@hotmail.com";"(+1) 20234132";"243 Highway";"New York";"2021-05-18";"852.27";"USA"
"Noah Larsson";"noah-larsson@yahoo.com";"(+55) 995298055";"171 Oak Road";"Sao Paulo";"2022-10-29";"1578.36 EUR";"Brazil"
"Isabella Smith";"smith_isabella@hotmail.com";"(+55) 59090225955";"294 King St";"Rio de Janeiro";"2021-11-07";"nan";"Brazil"
"Oscar Jones";"";"(+55) 525782841";"75 Elm Street";"Sao Paulo";"2023-08-23";"nan SEK";"Brazil"
"Astrid Brown";"brown_astrid@gmail.com";"(+46) 21610705";"100 Park Ave";"Göteborg";"2022-07-28";"9862.84";"Sweden"
"Ava Persson";"ava.persson@yahoo.com";"(+55) 13614878";"170 Elm Street";"Rio de Janeiro";"2024-01-17";"8343.37 USD";"Brazil"
"Leo Johnson";"johnson_leo@company.co";"(+66) 500902559";"195 Main St";"Bangkok";"2022-09-03";"5929.39";"Thailand"
"Isabella Williams";"isabella-williams@company.co";"(+1) 26842450";"22 Main St";"Los Angeles";"2024-12-28";"nan";"USA"
"Leo Johnson";"leo.johnson@yahoo.com";"(+46) 98259526";"173 Highway";"Göteborg";"2025-05-15";"6741.33 EUR";"Sweden"
"Liam Johnson";"liamjohnson@yahoo.com";"(+27) 249451475427";"77 King St";"Johannesburg";"2025-03-14";"nan";"South Africa"
"Emma Jones";"emma.jones@company.co";"(+1) 49551121";"243 Oak Road";"Los Angeles";"2023-12-26";"8591.44 EUR";"USA"
"Alma Olsson";"almaolsson@company.co";"(+49) 6464911110";"279 Main St";"Munich";"2025-07-28";"nan";"Germany"
"Ava Olsson";"avaolsson@bizmail.net";"(+27) 742333059127";"193 Elm Street";"Cape Town";"2021-10-20";"5159.20 USD";"South Africa"
"Erik Svensson";"erik.svensson@yahoo.com";"(+49) 9855241406";"110 King St";"Munich";"2023-09-04";"9671.71";"Germany"
"Isabella Persson";"isabella.persson@outlook.com";"(+66) 9588373";"77 Park Ave";"Chiang Mai";"2021-01-14";"2857.79 EUR";"Thailand"
"Oscar Gustafsson";"gustafsson_oscar@bizmail.net";"(+46) 535778811646";"7 Baker St";"Stockholm";"2021-06-07";"4956.89";"Sweden"
"Ava Jones";"avajones@outlook.com";"(+39) 09938425";"65 King St";"Rome";"2025-03-12";"6152.72 EUR";"Italy"
"Mia Pettersson";"pettersson_mia@gmail.com";"(+55) 693929060";"259 Main St";"Sao Paulo";"2021-05-06";"840.08";"Brazil"
"Leo Nilsson";"leo-nilsson@company.co";"(+33) 4413845";"186 Oak Road";"Lyon";"2021-06-29";"3216.68 USD";"France"
"Olivia Olsson";"oliviaolsson@outlook.com";"(+81) 3315520";"109 Elm Street";"Tokyo";"2021-01-15";"4116.86";"Japan"
"Olivia Svensson";"svensson_olivia@yahoo.com";"(+41) 8985625753";"207 Main St";"Zurich";"2021-09-29";"6508.90 EUR";"Switzerland"
"Oscar Gustafsson";"";"(+33) 59848840";"161 King St";"Paris";"2022-08-06";"3628.42 EUR";"France"
"Mia Larsson";"larsson_mia@yahoo.com";"(+39) 0842710";"175 Baker St";"Milan";"2021-02-28";"5774.44";"Italy"
"Elin Persson";"elin.persson@bizmail.net";"(+81) 500534240";"299 Main St";"Tokyo";"2024-04-22";"2069.53 EUR";"Japan"
"Ethan Pettersson";"ethan-pettersson@bizmail.net";"(+66) 28277288";"17 Park Ave";"Chiang Mai";"2025-07-29";"nan USD";"Thailand"
"Olivia Karlsson";"karlsson_olivia@bizmail.net";"(+33) 9137367850";"260 Elm Street";"Paris";"2025-09-14";"2502.41 EUR";"France"
"Sophia Eriksson";"sophiaeriksson@yahoo.com";"(+81) 4103977381";"91 Elm Street";"Osaka";"2021-09-09";"9625.12 USD";"Japan"
"Erik Svensson";"erik.svensson@hotmail.com";"(+46) 043350488";"49 Main St";"Stockholm";"2022-03-13";"3010.02 EUR";"Sweden"
"Leo Eriksson";"leo.eriksson@gmail.com";"(+46) 497501946";"105 Highway";"Göteborg";"2024-01-08";"3015.91 USD";"Sweden"
"Olivia Persson";"oliviapersson@company.co";"(+41) 1659266108";"80 Elm Street";"Zurich";"2025-04-16";"9842.02 EUR";"Switzerland"
"Liam Eriksson";"liam-eriksson@gmail.com";"(+66) 1730985";"129 Elm Street";"Chiang Mai";"2021-03-20";"8533.42 SEK";"Thailand"
"Astrid Pettersson";"";"(+33) 5823133484";"154 Highway";"Lyon";"2023-07-01";"6105.13 USD";"France"
"Astrid Gustafsson";"astrid.gustafsson@yahoo.com";"(+33) 9278687653";"256 King St";"Paris";"2024-01-11";"388.27";"France"
"Klara Gustafsson";"gustafsson_klara@bizmail.net";"(+49) 28685289";"282 Oak Road";"Munich";"2022-08-11";"5460.81 SEK";"Germany"
"Ethan Williams";"ethan.williams@outlook.com";"(+81) 0409013";"267 King St";"Tokyo";"2022-09-07";"3437.34 USD";"Japan"
"Noah Larsson";"noah.larsson@gmail.com";"(+55) 869261796";"228 Elm Street";"Rio de Janeiro";"2024-05-30";"2766.06";"Brazil"
"Oscar Andersson";"andersson_oscar@bizmail.net";"(+55) 2966851655";"245 Oak Road";"Sao Paulo";"2022-04-17";"7231.60 USD";"Brazil"
"Ella Olsson";"ella.olsson@gmail.com";"(+1) 555989531";"45 Main St";"Los Angeles";"2025-02-10";"1937.35";"USA"
"Liam Karlsson";"liam-karlsson@outlook.com";"(+49) 774964990949";"109 Oak Road";"Munich";"2023-02-01";"4704.43 USD";"Germany"
"Klara Olsson";"klara.olsson@gmail.com";"(+55) 06345911";"67 King St";"Sao Paulo";"2025-10-09";"nan SEK";"Brazil"
"Erik Johansson";"erik.johansson@bizmail.net";"(+66) 7451713";"180 King St";"Chiang Mai";"2021-12-15";"5705.04 USD";"Thailand"
"Mia Gustafsson";"gustafsson_mia@yahoo.com";"(+81) 183437401";"72 Elm Street";"Osaka";"2020-12-26";"6298.43 USD";"Japan"
"Astrid Smith";"astrid-smith@company.co";"(+66) 8040850954";"223 King St";"Bangkok";"2023-11-25";"9325.40 USD";"Thailand"
"Ella Pettersson";"ellapettersson@hotmail.com";"(+33) 32971674";"10 Oak Road";"Lyon";"2023-08-15";"nan";"France"
"Emma Pettersson";"emmapettersson@bizmail.net";"(+1) 2309130756";"257 King St";"New York";"2024-02-10";"5613.26 EUR";"USA"
"Liam Persson";"liam.persson@company.co";"";"176 King St";"Lyon";"2022-01-29";"8061.51 USD";"France"
"Liam Karlsson";"liam-karlsson@bizmail.net";"(+46) 546015851";"104 Baker St";"Stockholm";"2022-12-25";"359902.00 EUR";"Sweden"
"Oscar Brown";"oscar.brown@bizmail.net";"(+66) 7982708086";"91 Park Ave";"Chiang Mai";"2024-03-12";"3852.78 SEK";"Thailand"
"Ava Johansson";"johansson_ava@bizmail.net";"(+66) 101372151";"294 Elm Street";"Bangkok";"2022-12-10";"2757.07";"Thailand"
"Ethan Johansson";"ethanjohansson@yahoo.com";"(+39) 1790807";"295 King St";"Milan";"2023-10-01";"1291.18 SEK";"Italy"
"Klara Nilsson";"nilsson_klara@hotmail.com";"(+46) 9078263337";"240 Park Ave";"Stockholm";"2024-09-16";"nan SEK";"Sweden"
"Ava Johansson";"ava.johansson@hotmail.com";"(+66) 1449429666";"72 Park Ave";"Chiang Mai";"2022-07-04";"9271.92";"Thailand"
"Nils Johnson";"nils-johnson@bizmail.net";"(+66) 146074555";"167 Elm Street";"Bangkok";"2023-12-05";"7409.64 USD";"Thailand"
"Astrid Svensson";"astridsvensson@gmail.com";"(+55) 5469681579";"121 Oak Road";"Sao Paulo";"2021-03-25";"5004.50 USD";"Brazil"
"Olivia Olsson";"";"(+39) 696325953";"256 Oak Road";"Milan";"2022-02-23";"496.09 EUR";"Italy"
"Alma Williams";"";"(+33) 48193466";"9 Elm Street";"Paris";"2025-01-13";"nan USD";"France"
"Hugo Olsson";"hugoolsson@yahoo.com";"(+55) 1557998";"63 Baker St";"Sao Paulo";"2022-01-03";"nan";"Brazil"
"Emma Larsson";"emma-larsson@hotmail.com";"(+55) 7793238";"43 Park Ave";"Rio de Janeiro";"2022-01-24";"6597.10 EUR";"Brazil"
"Isabella Pettersson";"";"(+39) 571617688";"67 Oak Road";"Rome";"2024-12-12";"5329.37";"Italy"
"Olivia Smith";"oliviasmith@yahoo.com";"(+1) 9600133";"280 Elm Street";"New York";"2024-09-16";"1563.24";"USA"
"Emma Gustafsson";"gustafsson_emma@company.co";"(+46) 7580304687";"42 Highway";"Göteborg";"2021-03-19";"3298.95";"Sweden"
"Ava Johnson";"ava-johnson@gmail.com";"(+1) 601367303";"107 Elm Street";"New York";"2024-11-17";"5500.30 USD";"USA"
"Ella Olsson";"";"(+66) 8186702";"127 Main St";"Chiang Mai";"2021-07-13";"8621.22 USD";"Thailand"
"Lucas Gustafsson";"gustafsson_lucas@gmail.com";"(+33) 1918623";"92 King St";"Paris";"2021-04-18";"5744.29 EUR";"France"
"Liam Gustafsson";"liam-gustafsson@company.co";"(+1) 129578606";"200 Main St";"New York";"2024-01-27";"5328.32 EUR";"USA"
"Noah Persson";"noah.persson@gmail.com";"(+81) 09184357";"264 Elm Street";"Tokyo";"2022-08-08";"8735.61";"Japan"
"Klara Persson";"klarapersson@gmail.com";"(+55) 7784873";"240 Oak Road";"Sao Paulo";"2023-10-10";"nan SEK";"Brazil"
"Lucas Svensson";"lucas-svensson@outlook.com";"(+46) 6447264908";"47 Park Ave";"Göteborg";"2023-11-11";"3241.37 USD";"Sweden"
"Mia Jones";"jones_mia@gmail.com";"(+33) 762702324";"105 Elm Street";"Paris";"2022-11-23";"3453.67 SEK";"France"
"Ella Svensson";"ellasvensson@company.co";"(+55) 912711307";"272 Elm Street";"Sao Paulo";"2021-12-26";"4314.18 USD";"Brazil"
"Noah Svensson";"noah.svensson@yahoo.com";"(+81) 4731781081";"48 King St";"Tokyo";"2023-01-17";"31.53 EUR";"Japan"
"Emma Brown";"emma-brown@gmail.com";"(+66) 2314290";"174 King St";"Bangkok";"2023-04-15";"4794.29 USD";"Thailand"
"Erik Williams";"erik-williams@hotmail.com";"(+39) 9086416862";"203 Park Ave";"Milan";"2022-02-26";"4306.36";"Italy"
"Emma Eriksson";"eriksson_emma@bizmail.net";"(+81) 3218122764";"125 King St";"Tokyo";"2021-01-09";"392.49 SEK";"Japan"
"Nils Olsson";"nilsolsson@gmail.com";"(+1) 831997179";"18 Elm Street";"New York";"2021-02-07";"nan USD";"USA"
"Olivia Pettersson";"olivia.pettersson@gmail.com";"(+1) 2385037";"19 Oak Road";"New York";"2021-04-01";"1303.35";"USA"
"Nils Jones";"nils.jones@bizmail.net";"(+1) 9405396727";"142 Elm Street";"New York";"2024-05-11";"nan USD";"USA"
"Astrid Persson";"astridpersson@company.co";"(+46) 85677005";"141 King St";"Göteborg";"2022-12-02";"8983.28 USD";"Sweden"
"Hugo Larsson";"hugo.larsson@yahoo.com";"(+27) 309883920";"81 Main St";"Johannesburg";"2024-01-31";"7371.89 USD";"South Africa"
"Ava Olsson";"ava.olsson@bizmail.net";"(+27) 742333059127";"193 Elm Street";"Cape Town";"2021-10-20";"5159.20 USD";"South Africa"
"Erik Olsson";"erik-olsson@gmail.com";"(+49) 9375150939";"143 Baker St";"Munich";"2021-04-14";"4909.75 SEK";"Germany"
"Leo Johansson";"leojohansson@gmail.com";"(+33) 9880858333";"192 Baker St";"Paris";"2025-10-07";"9422.50";"France"
"Emma Karlsson";"emma-karlsson@gmail.com";"(+55) 0050506138";"275 Baker St";"Rio de Janeiro";"2024-06-18";"9181.01 EUR";"Brazil"
"Oscar Persson";"oscarpersson@gmail.com";"(+41) 448850141";"292 Highway";"Geneva";"2024-07-26";"7974.57";"Switzerland"
"Noah Larsson";"noah.larsson@gmail.com";"(+81) 999827950";"195 King St";"Tokyo";"2021-07-20";"2751.44 EUR";"Japan"
"Nils Pettersson";"pettersson_nils@company.co";"(+81) 2047196094";"228 Main St";"Osaka";"2020-05-11";"8559.84 SEK";"Japan"
"Olivia Johnson";"johnson_olivia@yahoo.com";"(+81) 3330212606";"298 Main St";"Osaka";"2021-08-03";"134.65";"Japan"
"Lucas Johnson";"lucas-johnson@outlook.com";"(+81) 1639282341";"220 Baker St";"Tokyo";"2021-10-24";"591605.00";"Japan"
"Noah Brown";"brown_noah@company.co";"(+41) 414967393";"93 Oak Road";"Geneva";"2023-09-28";"nan";"Switzerland"
"Ella Williams";"";"(+66) 535218188";"76 Baker St";"Chiang Mai";"2025-01-19";"9513.41 EUR";"Thailand"
"Hugo Persson";"hugo-persson@company.co";"(+55) 477320155";"14 Baker St";"Rio de Janeiro";"2021-05-03";"5204.29";"Brazil"
"Liam Jones";"jones_liam@company.co";"(+41) 71894905";"263 Elm Street";"Zurich";"2022-06-13";"6953.56 USD";"Switzerland"
"Oscar Olsson";"olsson_oscar@outlook.com";"(+49) 823662994";"147 Baker St";"Munich";"2023-11-04";"4737.13 EUR";"Germany"
"Erik Williams";"erikwilliams@bizmail.net";"(+33) 160481754";"191 Main St";"Paris";"2022-08-20";"641.54 USD";"France"
"Astrid Svensson";"astrid-svensson@hotmail.com";"(+49) 7704605";"226 Elm Street";"Berlin";"2024-01-18";"3670.98";"Germany"
"Sophia Persson";"sophiapersson@company.co";"(+41) 2071002194";"244 Park Ave";"Geneva";"2022-02-19";"385.84 EUR";"Switzerland"
"Erik Olsson";"olsson_erik@gmail.com";"(+1) 016731882";"80 King St";"Los Angeles";"2023-03-14";"nan";"USA"
"Lucas Johnson";"lucas.johnson@company.co";"(+41) 717957602441";"119 Highway";"Zurich";"2025-09-07";"1320.27 USD";"Switzerland"
"Olivia Persson";"";"(+55) 384444630";"192 King St";"Sao Paulo";"2024-01-02";"9735.17 SEK";"Brazil"
"Leo Svensson";"";"(+81) 72318432";"61 Park Ave";"Osaka";"2023-06-25";"nan";"Japan"
"Ethan Andersson";"ethan.andersson@yahoo.com";"(+81) 549471709";"100 Highway";"Tokyo";"2025-05-09";"nan EUR";"Japan"
"Elin Eriksson";"elin-eriksson@hotmail.com";"(+33) 352090421";"176 Baker St";"Lyon";"2024-03-23";"5532.03 EUR";"France"
"Noah Larsson";"noah.larsson@hotmail.com";"(+66) 0339937";"59 Oak Road";"Bangkok";"2023-01-30";"8862.70 SEK";"Thailand"
"Lucas Pettersson";"lucas-pettersson@gmail.com";"(+55) 957885685";"129 Baker St";"Rio de Janeiro";"2024-08-31";"7388.66 SEK";"Brazil"
"Noah Pettersson";"noahpettersson@outlook.com";"(+1) 210470952";"213 Baker St";"Los Angeles";"2023-08-11";"2577.13 USD";"USA"
"Erik Johnson";"erik.johnson@company.co";"(+81) 6767721903";"148 Baker St";"Osaka";"2023-08-30";"2686.21 USD";"Japan"
"Hugo Olsson";"hugoolsson@yahoo.com";"(+41) 325797041";"250 Baker St";"Geneva";"2024-05-19";"nan USD";"Switzerland"
"Erik Larsson";"erik.larsson@yahoo.com";"(+33) 7778097";"233 Elm Street";"Lyon";"2024-04-27";"2084.30";"France"
"Astrid Andersson";"andersson_astrid@outlook.com";"(+27) 02716938";"236 Elm Street";"Johannesburg";"2023-05-10";"7119.36 EUR";"South Africa"
"Olivia Eriksson";"oliviaeriksson@bizmail.net";"(+66) 8119953766";"54 King St";"Chiang Mai";"2024-05-21";"nan";"Thailand"
"Liam Williams";"liamwilliams@company.co";"(+1) 511047541";"286 Highway";"New York";"2025-03-12";"133.28";"USA"
"Oscar Johnson";"oscarjohnson@outlook.com";"(+46) 156915452";"250 Park Ave";"Stockholm";"2024-03-27";"5893.61 EUR";"Sweden"
"Alma Johansson";"alma-johansson@bizmail.net";"(+49) 6781126";"87 Main St";"Berlin";"2023-01-23";"4252.80 USD";"Germany"
"Isabella Persson";"isabellapersson@yahoo.com";"(+49) 149368998";"137 Main St";"Munich";"2020-10-30";"5667.55";"Germany"
"Olivia Smith";"olivia-smith@yahoo.com";"(+39) 8811729";"221 Highway";"Rome";"2025-04-18";"3818.55";"Italy"
"Ava Gustafsson";"ava.gustafsson@company.co";"(+66) 805891135266";"205 King St";"Bangkok";"2023-08-29";"5809.38 SEK";"Thailand"
"Astrid Larsson";"astrid.larsson@gmail.com";"(+41) 5060983584";"282 Oak Road";"Geneva";"2021-05-04";"nan";"Switzerland"
"Erik Williams";"williams_erik@bizmail.net";"(+39) 8324210";"292 Oak Road";"Milan";"2022-04-28";"4383.21 SEK";"Italy"
"Nils Karlsson";"karlsson_nils@hotmail.com";"(+81) 68315893";"218 King St";"Osaka";"2021-12-31";"6771.46 SEK";"Japan"
"Alma Smith";"almasmith@gmail.com";"(+46) 568044731";"193 Oak Road";"Stockholm";"2022-05-23";"2453.69 EUR";"Sweden"
"Ava Gustafsson";"avagustafsson@hotmail.com";"(+39) 04439735";"6 Elm Street";"Rome";"2024-10-17";"7363.68";"Italy"
"Hugo Johnson";"";"(+41) 4455618579";"233 Elm Street";"Geneva";"2021-05-16";"8256.31 EUR";"Switzerland"
"Klara Olsson";"klara-olsson@bizmail.net";"(+55) 880395512";"193 Park Ave";"Sao Paulo";"2021-06-14";"nan USD";"Brazil"
"Astrid Andersson";"astrid.andersson@bizmail.net";"(+27) 712814429";"58 Highway";"Cape Town";"2025-04-29";"7010.74 EUR";"South Africa"
"Mia Eriksson";"mia-eriksson@hotmail.com";"(+1) 903521356";"90 Main St";"Los Angeles";"2021-04-29";"7940.16";"USA"
"Nils Persson";"nilspersson@yahoo.com";"(+49) 129592728";"20 Highway";"Berlin";"2021-05-26";"nan EUR";"Germany"
"Oscar Karlsson";"oscarkarlsson@yahoo.com";"(+1) 3577908";"17 Elm Street";"Los Angeles";"2023-10-18";"803.68 EUR";"USA"
"Mia Jones";"miajones@outlook.com";"(+66) 335670860";"180 Park Ave";"Chiang Mai";"2024-12-21";"nan SEK";"Thailand"
"Noah Williams";"";"(+39) 86204485";"45 Highway";"Rome";"2021-12-04";"6269.98";"Italy"
"Lucas Pettersson";"lucas.pettersson@gmail.com";"(+81) 5280924287";"163 Park Ave";"Osaka";"2023-08-06";"9263.11 USD";"Japan"
"Ella Brown";"";"(+55) 700766177";"76 Main St";"Sao Paulo";"2022-12-07";"4542.62";"Brazil"
"Olivia Brown";"oliviabrown@yahoo.com";"(+66) 68653694";"163 Highway";"Bangkok";"2023-05-26";"nan EUR";"Thailand"
"Astrid Smith";"smith_astrid@hotmail.com";"(+49) 1718227";"217 Baker St";"Munich";"2023-01-13";"4386.62";"Germany"
"Liam Smith";"smith_liam@company.co";"(+39) 9887749242";"148 King St";"Milan";"2024-06-04";"2859.61";"Italy"
"Hugo Larsson";"hugo-larsson@company.co";"(+66) 1484399";"74 Elm Street";"Bangkok";"2022-02-26";"6464.39";"Thailand"
"Emma Persson";"emma.persson@yahoo.com";"(+39) 023741678";"167 King St";"Rome";"2025-07-10";"9577.21";"Italy"
"Elin Svensson";"elin-svensson@gmail.com";"(+33) 741011933";"255 Baker St";"Lyon";"2024-09-20";"5750.66 SEK";"France"
"Noah Johansson";"noahjohansson@bizmail.net";"(+49) 6300979";"81 Elm Street";"Munich";"2024-04-20";"6449.30";"Germany"
"Hugo Larsson";"hugolarsson@company.co";"(+46) 8055269";"242 King St";"Göteborg";"2025-03-22";"6289.42 SEK";"Sweden"
"Klara Johansson";"johansson_klara@outlook.com";"(+39) 6980420";"139 Main St";"Rome";"2025-07-29";"1087.84";"Italy"
"Isabella Larsson";"";"(+27) 0422325367";"213 Elm Street";"Cape Town";"2024-12-31";"8774.40 EUR";"South Africa"
"Oscar Johnson";"johnson_oscar@yahoo.com";"(+46) 59893347";"89 Park Ave";"Stockholm";"2021-11-07";"2557.61 EUR";"Sweden"
"Mia Karlsson";"mia-karlsson@gmail.com";"(+46) 31279757";"195 Park Ave";"Göteborg";"2023-09-28";"7871.33 SEK";"Sweden"
"Hugo Karlsson";"hugo.karlsson@yahoo.com";"(+46) 61764750";"261 Baker St";"Göteborg";"2024-12-22";"1819.15 EUR";"Sweden"
"Elin Johansson";"elinjohansson@bizmail.net";"(+46) 283999219246";"292 King St";"Stockholm";"2024-08-06";"6932.93 SEK";"Sweden"
"Alma Johnson";"almajohnson@gmail.com";"(+46) 5593429";"40 Main St";"Stockholm";"2022-10-19";"3034.16 USD";"Sweden"
"Isabella Johansson";"isabellajohansson@gmail.com";"(+33) 207446660";"98 Oak Road";"Paris";"2024-07-24";"nan SEK";"France"
"Nils Brown";"nilsbrown@outlook.com";"(+46) 1397187072";"287 Elm Street";"Göteborg";"2024-12-23";"462.45 USD";"Sweden"
"Noah Johnson";"noah.johnson@gmail.com";"(+49) 723046184";"54 Highway";"Munich";"2024-03-18";"8316.67 USD";"Germany"
"Sophia Jones";"sophia.jones@outlook.com";"(+41) 9904137977";"74 King St";"Zurich";"2021-09-26";"9224.30";"Switzerland"
"Liam Eriksson";"liam.eriksson@outlook.com";"";"236 Main St";"Osaka";"2021-06-12";"nan USD";"Japan"
"Olivia Persson";"";"(+33) 66552899";"236 Oak Road";"Paris";"2023-09-05";"1467.25 USD";"France"
"Liam Smith";"liamsmith@yahoo.com";"(+1) 43410361";"57 King St";"New York";"2024-10-28";"25.63 EUR";"USA"
"Ella Eriksson";"ellaeriksson@outlook.com";"(+1) 17807823";"269 Oak Road";"Los Angeles";"2023-10-09";"2059.82 USD";"USA"
"Leo Karlsson";"leo.karlsson@hotmail.com";"(+33) 7625153814";"2 Park Ave";"Lyon";"2024-05-26";"36394.00 EUR";"France"
"Lucas Gustafsson";"lucas-gustafsson@bizmail.net";"(+81) 1990623445";"163 Elm Street";"Osaka";"2024-01-28";"nan EUR";"Japan"
